height_category,body_shape,build_type,subject_count,pct_of_total,avg_height,avg_chest,avg_waist,avg_hip,avg_bicep,avg_thigh,whr,cwr,leg_pct
Average,Pear,Athletic,298,14.77,167.5,93.6,77.7,96.7,27.8,51.4,0.804,1.205,45.8
Tall,Balanced,Moderate,294,14.57,181.8,105.6,95.5,105.6,31.6,55.3,0.904,1.106,45.6
Average,Balanced,Moderate,279,13.83,168.6,102.3,92.6,103,30.7,54.1,0.898,1.106,45.2
Average,Pear,Moderate,161,7.98,166.8,92.3,82.6,101.2,28.4,53.5,0.815,1.119,46
Tall,Balanced,Athletic,155,7.68,181.5,105.5,89.3,101.3,32,54.3,0.881,1.182,45.8
Average,Balanced,Athletic,145,7.19,169.1,103.2,87.1,98.9,30.5,52.4,0.881,1.185,45.3
Tall,Pear,Athletic,127,6.29,180.9,99.6,82.1,99.6,30.3,53,0.824,1.215,45.9
Short,Pear,Athletic,94,4.66,156.3,89.3,74.5,93.5,26,49.5,0.797,1.2,45.3
Tall,Apple,Moderate,86,4.26,180.7,115.8,106.2,108.7,33.7,56.9,0.977,1.091,45.1
Average,Apple,Moderate,72,3.57,171.1,111.6,102.1,104.2,32.1,54.3,0.98,1.093,45.1
Tall,Apple,Straight,62,3.07,182.4,119.1,117.6,117.2,34.7,59.5,1.002,1.015,44.9
Short,Balanced,Moderate,49,2.43,156.7,102.5,92.2,103.2,30.4,53.6,0.892,1.112,44.9
Short,Pear,Moderate,46,2.28,156.8,91.8,82.1,101,28.5,53.2,0.813,1.119,45.4
Tall,Pear,Moderate,35,1.73,180.5,96.7,86.1,103.5,29.6,54.4,0.832,1.124,45.9
Average,Apple,Straight,33,1.64,169.3,111.9,109.7,110,33.2,56,0.997,1.02,44.4
Tall,Balanced,Straight,26,1.29,183.8,108.8,105.8,114.9,33.3,59.6,0.92,1.03,45
Short,Balanced,Athletic,17,0.84,155.9,99.8,84.3,96.4,28.5,51.1,0.874,1.183,45.2
Average,Balanced,Straight,16,0.79,167.8,110.9,106.7,116.7,33.9,60.7,0.914,1.04,45.5
Average,Apple,Athletic,6,0.3,166.6,117.2,99.4,102,34.2,55.3,0.976,1.179,45.3
Short,Apple,Moderate,5,0.25,157.1,115.7,106.3,107.6,33.4,54.8,0.987,1.088,44.1
